CCT	&	1	&	0	&	0	\\
SH	&	0	&	0	&	1	\\
$F_1$	&	0	&	1	&	0	\\
$F_2$	&	0.25	&	0.5	&	0.25	\\
$\BC_1$--CCT	&	0.5	&	0.5	&	0	\\
$\BC_1$--SH	&	0	&	0.5	&	0.5	\\
$\BC_2$--CCT	&	0.75	&	0.25	&	0	\\
$\BC_2$--SH	&	0	&	0.25	&	0.75	\\
$\BC_1$--CCT $\times$ $BC_2$--CCT	&	0.5625	&	0.375	&	0.0625	\\
$\BC_1$--SH $\times$ $BC_2$--SH	&	0.0625	&	0.375	&	0.5625	\\
